ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME
151001407,4,3,4,3,3,2,4,3,4,4,2,3,5,3,2,3,4,3,3,3,2,3,1,1,2,3,3,1,3,3,4,3,4,4,3,3,4,2,4,4,3,3,3,2,3,3,4,1,3,2,12/6/2013 8:07:17 PM
133003971,5,3,2,2,2,4,5,4,4,4,3,5,4,4,4,1,2,3,3,5,5,3,4,5,3,5,3,1,1,2,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,12/6/2013 8:09:47 PM
150008684,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,12/6/2013 8:19:52 PM
151009710,5,4,4,0,4,3,3,4,3,5,3,3,4,5,3,2,4,4,4,3,4,3,3,4,5,3,4,4,3,2,4,3,3,3,2,4,3,5,4,2,4,5,2,3,1,3,5,4,5,4,12/6/2013 8:22:24 PM
151003977,4,3,4,4,3,4,3,2,4,4,0,4,4,3,5,3,5,2,4,2,4,2,4,3,4,4,3,4,4,3,4,4,5,4,3,4,4,4,3,2,3,4,3,4,4,4,2,4,4,2,12/6/2013 8:22:47 PM
150008145,2,3,5,3,5,1,4,4,2,5,2,1,5,3,4,4,5,4,2,4,4,2,4,2,5,4,4,4,4,2,4,4,3,4,4,3,3,3,3,3,3,4,2,5,1,4,3,3,4,3,12/6/2013 8:30:29 PM
153001662,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,4,3,3,3,4,4,5,4,3,3,4,4,3,3,3,3,4,5,4,2,5,4,3,4,3,4,3,4,3,4,12/6/2013 8:32:05 PM
154005911,4,2,4,3,4,4,2,3,2,4,3,4,4,3,3,2,4,3,4,4,4,2,2,3,3,3,4,3,5,4,5,3,2,4,5,3,4,4,2,3,2,2,2,4,4,5,3,3,2,2,12/6/2013 8:33:25 PM
150003563,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/2013 8:35:36 PM
150003563,5,1,5,2,5,4,4,2,5,2,1,5,2,1,4,2,3,4,3,5,3,2,3,4,4,4,3,2,2,4,4,4,4,3,4,2,3,3,2,3,4,3,3,1,4,4,3,3,4,3,12/6/2013 8:40:13 PM
152009545,4,1,2,2,4,4,3,3,4,4,2,4,4,5,5,3,2,4,4,5,3,4,2,3,4,4,1,1,2,4,4,3,4,4,1,4,2,5,4,4,1,1,2,1,4,2,2,2,4,0,12/6/2013 8:56:13 PM
151000760,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/2013 9:03:34 PM
144009753,4,3,3,2,4,5,3,3,4,3,3,3,4,3,3,3,2,3,3,2,3,1,4,3,0,0,4,1,2,3,3,3,3,2,2,4,2,3,3,3,2,2,4,0,3,4,3,3,4,3,12/6/2013 9:47:57 PM
152008244,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/2013 10:30:06 PM
151007479,1,5,4,5,5,3,3,3,2,5,5,1,5,2,2,5,5,4,5,1,1,1,1,1,3,3,5,5,5,5,4,3,5,5,1,5,5,1,2,3,1,5,0,5,5,5,1,1,5,1,12/6/2013 10:45:10 PM
150005248,1,4,3,4,5,1,1,3,1,3,4,2,3,4,1,4,4,5,4,1,1,5,1,1,2,1,3,5,4,4,4,4,5,3,1,5,1,3,2,5,2,3,4,4,5,4,1,1,5,1,12/6/2013 10:45:43 PM
151002469,3,3,4,2,3,3,2,2,4,4,4,3,4,2,2,4,3,4,4,2,3,2,2,3,4,2,4,4,4,4,4,3,4,3,2,4,2,3,3,4,3,2,2,4,4,4,2,2,4,2,12/6/2013 10:52:57 PM
