school_name,school_county,school_type,state_district_id,total_students,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_male,total_female,total_american_indian_alaskan,total_asians,total_black,total_hispanic,total_white,free_lunch_eligible,student_teacher_ratio,fte_teachers,school_level,low_grade,high_grade
T A EDISON CAREER TECH ACADEMY,UNION,1-Regular school,3404590,718,249,147,133,145,385,333,0,9,170,506,33,560,10.88,66,3-High,9th Grade,12th Grade
T JEFFERSON ARTS ACADEMY,UNION,1-Regular school,3404590,891,298,304,151,106,378,513,0,6,298,520,67,683,13.1,68,3-High,9th Grade,12th Grade
TEAM ACADEMY CHARTER SCHOOL,ESSEX,1-Regular school,3400070,1277,148,73,68,55,557,720,0,0,1208,67,2,877,15.2,84,4-Other,Kindergarten,12th Grade
TEANECK SR HIGH SCHOOL,BERGEN,1-Regular school,3416080,1348,334,316,365,333,698,650,4,144,650,352,182,249,13.32,101.2,3-High,9th Grade,12th Grade
TECHNICAL SCHOOL  PARAMUS,BERGEN,3-Vocational school,3401470,152,93,24,21,14,92,60,0,3,22,47,80,32,8.94,17,3-High,9th Grade,12th Grade
TECHNICAL SCHOOL  TETERBORO,BERGEN,3-Vocational school,3401470,643,155,158,175,155,298,345,1,172,23,127,309,38,10.21,63,4-Other,6th Grade,12th Grade
TECHNOLOGY HIGH SCHOOL,ESSEX,1-Regular school,3411340,485,126,130,112,107,230,255,1,10,150,283,41,390,12.76,38,3-High,9th Grade,12th Grade
TENAFLY HIGH SCHOOL,BERGEN,1-Regular school,3416110,1239,279,332,325,303,650,589,0,443,19,50,723,15,14.32,86.5,3-High,9th Grade,12th Grade
TIMBER CREEK HIGH SCHOOL,CAMDEN,1-Regular school,3401770,1437,354,350,329,375,756,681,1,61,445,62,866,185,18.86,76.2,3-High,9th Grade,12th Grade
TOMS RIVER CENTER,OCEAN,3-Vocational school,3411980,146,0,6,53,87,67,79,0,4,7,14,121,15,6.95,21,3-High,10th Grade,12th Grade
TOMS RIVER HIGH EAST,OCEAN,1-Regular school,3416230,1609,398,419,390,357,769,840,2,40,35,96,1429,189,13.32,120.8,3-High,9th Grade,12th Grade
TOMS RIVER HIGH NORTH,OCEAN,1-Regular school,3416230,2242,560,584,505,506,1158,1084,3,129,104,190,1801,303,14.97,149.8,3-High,9th Grade,12th Grade
TOMS RIVER HIGH SOUTH,OCEAN,1-Regular school,3416230,1445,359,381,334,331,742,703,2,33,103,124,1174,223,13.87,104.2,3-High,9th Grade,12th Grade
TRENTON CENTRAL HIGH SCHOOL,MERCER,1-Regular school,3416290,1400,200,515,386,299,685,715,0,26,796,556,21,596,12.39,113,4-Other,5th Grade,12th Grade
TRENTON CENTRAL HIGH SCHOOL WEST,MERCER,1-Regular school,3416290,448,48,174,122,104,185,263,0,1,363,75,9,169,9.14,49,4-Other,5th Grade,12th Grade
TRENTON PSYCHIATRIC HOSPITAL,MERCER,4-Alternative/other school,3400085,1,0,0,0,1,0,1,0,0,1,0,0,0,0.5,2,3-High,12th Grade,12th Grade
TRITON HIGH SCHOOL,CAMDEN,1-Regular school,3401770,1560,378,417,377,366,794,766,7,82,107,92,1270,268,19.6,79.6,3-High,9th Grade,12th Grade
UNION CITY HIGH SCHOOL,HUDSON,1-Regular school,3416380,2428,196,723,631,565,1289,1139,0,27,25,2324,50,1974,16.93,143.4,3-High,9th Grade,12th Grade
UNION CTY VOCATIONAL TECH,UNION,3-Vocational school,3418040,408,127,127,89,57,183,225,0,28,135,115,126,131,11.83,34.5,3-High,9th Grade,12th Grade
UNION SENIOR HIGH SCHOOL,UNION,1-Regular school,3416500,2358,555,613,570,620,1249,1109,0,237,1097,396,616,564,15.21,155,3-High,9th Grade,12th Grade
UNIVERSITY ACADEMY CS,HUDSON,1-Regular school,3400073,430,113,113,107,97,216,214,0,28,268,125,8,177,13.87,31,3-High,9th Grade,12th Grade
UNIVERSITY HIGH SCHOOL,ESSEX,1-Regular school,3411340,479,113,110,103,112,185,294,0,6,397,69,7,330,13.31,36,3-High,7th Grade,12th Grade
VERNON TWP HIGH SCHOOL,SUSSEX,1-Regular school,3416710,1114,17,346,350,390,583,531,2,19,19,67,1007,83,12.11,92,3-High,9th Grade,12th Grade
VERONA HIGH SCHOOL,ESSEX,1-Regular school,3416740,609,162,147,151,149,312,297,2,32,13,41,519,0,14.16,43,3-High,9th Grade,12th Grade
VINELAND CHILDRENS RESIDENTIAL CENTER,CUMBERLAND,4-Alternative/other school,3400085,24,7,8,5,1,14,10,0,0,12,6,6,0,0,0,3-High,8th Grade,12th Grade
VINELAND HIGH SCHOOL,CUMBERLAND,1-Regular school,3416800,2559,703,636,533,530,1324,1235,11,52,528,1107,850,689,13.29,192.6,3-High,9th Grade,12th Grade
VISION QUEST PATHFINDER,BURLINGTON,4-Alternative/other school,3400085,50,13,14,10,5,30,20,0,0,28,12,10,0,5.56,9,4-Other,6th Grade,12th Grade
VOCATIONAL  PARAMUS  SP NEED,BERGEN,2-Special education school,3401470,210,4,77,65,59,134,76,0,9,26,79,96,0,7.24,29,3-High,9th Grade,12th Grade
VOORHEES HIGH SCHOOL,HUNTERDON,1-Regular school,3411610,1050,291,283,234,242,510,540,1,36,15,48,945,42,13.55,77.5,3-High,9th Grade,12th Grade
VOORHEES RGC,HUNTERDON,4-Alternative/other school,3400089,24,5,8,6,4,24,0,0,0,16,8,0,0,8,3,3-High,8th Grade,12th Grade
WALDWICK HIGH SCHOOL,BERGEN,1-Regular school,3416860,446,122,103,118,103,238,208,0,23,9,44,370,5,16.04,27.8,3-High,9th Grade,12th Grade
WALL HIGH SCHOOL,MONMOUTH,1-Regular school,3416890,1339,311,312,350,355,721,618,2,15,28,44,1237,105,15.32,87.4,3-High,9th Grade,12th Grade
WALLINGTON JR SR HIGH SCHOOL,BERGEN,1-Regular school,3416920,549,80,92,93,89,297,252,1,31,14,91,412,86,14.72,37.3,3-High,7th Grade,12th Grade
WALLKILL VALLEY REGIONAL H S,SUSSEX,1-Regular school,3416870,780,201,195,184,200,400,380,1,19,22,64,674,70,13.71,56.9,3-High,9th Grade,12th Grade
WAR MEMORIAL HIGH SCHOOL,MIDDLESEX,1-Regular school,3414640,1734,458,439,432,405,898,836,3,258,278,291,879,336,16.82,103.1,3-High,9th Grade,12th Grade
WARREN COUNTY SPEC SER SCHOOL,WARREN,2-Special education school,3480362,24,0,1,1,1,21,3,0,2,2,2,18,6,2.64,9.1,4-Other,1st Grade,12th Grade
WARREN CTY VOCATIONAL & TECH INS,WARREN,3-Vocational school,3417920,318,92,85,60,81,191,127,0,0,5,21,292,54,8.59,37,3-High,9th Grade,12th Grade
WARREN HILLS REGIONAL HIGH SCHOOL,WARREN,1-Regular school,3416970,1276,272,306,331,315,639,637,1,31,64,99,1075,131,17.1,74.6,3-High,9th Grade,12th Grade
WARREN RGC,WARREN,4-Alternative/other school,3400089,12,3,2,2,5,12,0,0,0,8,4,0,0,2.4,5,3-High,9th Grade,12th Grade
WARREN TRANSITIONAL EDUCATIONAL CENTER,WARREN,4-Alternative/other school,3400085,4,2,0,0,2,0,4,0,0,0,0,4,0,1,4,3-High,9th Grade,12th Grade
WASHINGTON TWP H S,GLOUCESTER,1-Regular school,3417070,2688,556,582,623,580,0,0,0,0,0,0,0,120,14.25,188.6,3-High,9th Grade,12th Grade
WATCHUNG HILLS REGIONAL H,SOMERSET,1-Regular school,3417220,2065,546,534,466,519,1075,990,1,292,43,142,1565,28,14.77,139.8,3-High,9th Grade,12th Grade
WAYNE HILLS HIGH SCHOOL,PASSAIC,1-Regular school,3417280,1333,344,330,306,335,684,649,0,144,22,94,1071,49,12.89,103.4,3-High,9th Grade,12th Grade
WAYNE VALLEY HIGH SCHOOL,PASSAIC,1-Regular school,3417280,1489,366,387,362,365,773,716,1,96,19,123,1246,76,13.49,110.4,3-High,9th Grade,12th Grade
WEEHAWKEN HIGH SCHOOL,HUDSON,1-Regular school,3417310,518,105,80,66,64,256,262,0,14,23,350,127,235,12.57,41.2,3-High,7th Grade,12th Grade
WEEQUAHIC,ESSEX,1-Regular school,3411340,654,113,164,146,134,332,322,0,0,643,11,0,504,11.68,56,3-High,9th Grade,12th Grade
WEST DEPTFORD HIGH SCHOOL,GLOUCESTER,1-Regular school,3417430,907,207,239,226,235,507,400,0,15,67,37,762,136,14.68,61.8,3-High,9th Grade,12th Grade
WEST ESSEX HIGH SCHOOL,ESSEX,1-Regular school,3417460,1025,267,246,240,260,511,514,0,40,8,51,926,20,12.52,81.9,3-High,9th Grade,12th Grade
