ID,qcc1,qcc2,qcc3,qcc4,qcc5,qcc6,qcc7,qcc8,qcc9,qcc10,qcc11,qcc12,qcc13,qcc14,qcc15,qcc16,qcc17,qcc18,qcc19,qcc20,qcc21,qcc22,qcc23,qcc24,qcc25,qcc26,qcc27,qcc28,qcc29,qcc30,qcc31,qcc32,qcc33,qcc34,qcc35,qcc36,qcc37,qcc38,qcc39,qcc40,qcc41,qcc42,qcc43,qcc44,qcc45,qcc46,qcc47,qcc48,qcc49,qcc50,qccTIME
151004402,4,4,4,3,4,4,3,4,3,3,4,5,4,3,3,3,4,3,4,4,2,2,3,4,4,2,3,4,2,4,4,2,3,4,2,4,4,2,4,3,1,5,3,2,3,4,2,2,4,3,5/3/2014 4:02:56 PM
152001315,4,3,3,1,3,2,2,2,3,2,3,3,1,5,2,1,2,1,1,2,1,1,3,4,2,4,3,1,1,2,1,3,2,2,3,2,2,3,3,4,5,3,3,4,3,3,5,3,3,2,5/3/2014 4:06:21 PM
152001190,4,3,3,3,4,3,2,2,4,5,3,2,4,3,4,4,4,3,2,1,4,4,1,3,3,2,4,3,3,4,2,3,4,4,2,4,3,3,4,2,2,2,3,3,4,3,3,2,2,2,5/3/2014 4:07:04 PM
144004381,4,4,4,2,3,2,4,1,4,1,2,2,4,5,2,2,2,5,5,4,2,2,4,2,2,2,4,1,2,4,4,1,3,3,4,2,2,2,4,4,4,2,3,3,4,3,2,3,4,3,5/3/2014 4:09:56 PM
151008320,4,4,4,5,5,4,4,3,5,5,3,2,3,4,1,2,3,3,4,3,3,5,2,2,3,3,4,2,3,4,4,2,3,2,4,2,3,3,2,2,2,3,2,4,4,3,2,4,2,4,5/3/2014 4:11:30 PM
150002592,2,4,4,4,5,5,2,5,5,4,4,2,5,4,2,4,4,4,5,2,2,4,2,2,4,2,4,5,4,4,4,4,4,4,2,5,2,2,1,4,2,4,4,5,4,4,2,2,4,2,5/3/2014 4:24:10 PM
150009959,4,3,4,3,4,3,2,3,3,4,2,4,3,5,2,4,4,4,3,3,2,5,2,3,4,2,3,2,3,4,4,3,4,4,2,4,3,2,2,3,2,4,4,4,4,4,2,0,4,2,5/3/2014 4:25:59 PM
150007622,3,4,3,4,2,4,4,3,4,3,3,3,3,4,3,3,3,4,5,4,3,4,4,4,4,4,4,3,3,4,2,3,3,3,3,3,3,4,2,3,4,3,3,3,4,4,3,4,4,4,5/3/2014 4:30:34 PM
152006845,3,4,3,3,2,3,4,3,4,4,3,3,3,3,1,3,0,4,3,4,2,3,3,2,4,3,3,4,4,4,4,3,4,3,2,4,3,2,3,4,4,3,2,3,3,3,4,3,4,4,5/3/2014 4:52:04 PM
152003161,5,5,5,2,5,5,5,5,4,5,5,4,2,2,5,5,5,5,3,5,5,4,2,1,5,5,5,5,5,5,4,5,2,5,4,4,5,5,3,5,5,5,3,2,2,4,1,5,5,2,5/3/2014 4:55:01 PM
146006123,4,1,4,4,5,4,4,2,4,4,2,5,4,4,2,1,1,4,3,2,5,4,2,4,5,2,4,3,1,2,4,5,2,4,1,4,5,4,2,3,3,1,1,1,4,4,3,4,4,4,5/3/2014 4:57:17 PM
152004229,4,5,3,3,3,3,4,3,5,5,4,3,2,0,2,2,3,3,2,3,3,4,3,2,3,2,4,3,2,4,4,3,4,3,2,4,3,2,4,2,3,3,2,3,3,3,2,3,3,2,5/3/2014 5:10:32 PM
150007464,3,4,3,2,3,4,2,4,4,3,3,4,3,3,3,2,3,3,3,3,4,2,2,3,3,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,2,3,2,3,1,2,2,3,3,3,5/3/2014 5:12:25 PM
152007923,4,4,3,4,4,4,4,4,5,4,3,4,2,5,3,3,3,4,4,4,5,4,2,4,4,3,3,2,3,4,4,3,4,4,2,4,4,2,4,3,2,4,3,3,3,4,3,2,2,4,5/3/2014 5:17:18 PM
150009061,3,4,4,3,3,2,2,3,3,1,3,2,4,3,3,4,4,4,3,2,2,4,2,2,2,2,3,3,3,3,4,2,4,4,2,4,3,3,3,4,2,5,4,4,4,4,2,2,4,2,5/3/2014 5:20:42 PM
152003296,2,5,4,5,5,3,1,3,2,5,4,2,5,4,2,5,4,5,3,3,1,5,2,2,3,2,4,5,5,4,4,3,5,5,1,4,1,2,3,4,2,3,4,5,4,4,3,1,4,1,5/3/2014 5:22:21 PM
151000223,3,3,2,3,4,3,3,3,5,4,2,3,3,2,3,4,5,4,5,3,4,2,3,3,3,3,3,3,2,4,3,3,3,4,2,4,3,3,3,3,3,3,4,4,2,3,3,3,3,3,5/3/2014 5:27:08 PM
