ID,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC50,QCTIME
153001329,4,3,5,4,5,3,1,0,4,1,3,3,5,5,1,3,5,4,4,3,5,4,3,3,3,4,5,5,4,4,4,4,5,5,5,4,4,4,3,5,5,3,1,5,5,5,2,1,4,3,9/8/2013 12:16:32 PM
151006007,4,4,5,3,4,2,2,3,5,3,3,5,4,5,2,3,4,4,5,3,2,4,3,5,4,2,4,3,4,4,4,4,5,3,2,4,2,1,2,4,2,3,2,4,3,4,3,2,3,2,9/8/2013 12:17:56 PM
153001855,3,1,4,2,5,2,2,2,2,4,3,4,5,3,2,4,4,4,5,3,2,4,2,3,3,3,4,5,4,5,4,3,4,4,1,4,1,1,3,4,2,4,2,4,5,4,1,1,5,1,9/8/2013 12:19:15 PM
151000574,3,4,3,3,4,2,2,3,4,3,4,3,5,4,3,3,3,3,4,2,2,3,3,2,3,3,4,3,3,3,4,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,9/8/2013 12:20:31 PM
151003174,5,3,4,1,3,5,5,2,3,1,2,5,5,5,4,1,1,2,3,2,3,1,3,5,4,3,2,1,1,2,4,5,2,1,1,1,2,2,1,1,5,1,1,2,2,1,5,4,1,5,9/8/2013 12:21:20 PM
152004701,4,3,3,2,3,2,2,4,5,4,2,3,3,5,2,4,3,4,3,3,2,3,3,3,4,2,4,3,2,3,4,3,4,3,2,3,2,2,2,3,3,1,3,3,1,3,2,2,3,2,9/8/2013 12:21:26 PM
152001486,2,4,2,3,3,2,2,3,2,4,4,2,4,3,4,4,4,4,4,2,2,3,2,2,3,2,4,4,3,3,4,3,3,3,2,4,2,1,2,2,2,4,3,3,3,4,2,1,4,2,9/8/2013 12:21:27 PM
151007581,5,4,3,2,4,2,2,4,4,4,3,4,5,5,2,2,3,4,4,2,4,4,2,4,5,2,5,2,2,3,4,3,5,1,2,2,2,2,4,3,4,2,2,3,4,4,3,2,3,2,9/8/2013 12:21:35 PM
150002427,4,4,5,3,3,4,3,2,4,4,3,3,4,5,2,4,4,4,4,3,3,3,2,2,3,2,4,3,3,4,4,3,4,4,2,4,3,2,2,4,4,3,3,4,3,4,2,3,4,2,9/8/2013 12:24:52 PM
152002462,4,3,4,4,4,3,2,2,4,2,2,4,5,5,4,5,4,3,3,2,3,2,3,4,4,3,5,3,3,4,4,1,4,4,3,5,3,1,3,3,2,3,4,3,4,4,2,1,4,3,9/8/2013 12:24:56 PM
145007729,5,4,3,2,4,4,3,2,4,2,2,5,4,5,2,1,3,3,3,2,3,3,1,4,1,1,5,3,2,5,4,1,4,3,1,5,3,1,3,2,2,2,2,4,2,4,2,2,4,2,9/8/2013 12:31:20 PM
150006887,3,4,4,2,5,3,2,0,4,3,3,3,3,4,2,3,3,4,4,2,3,2,2,3,4,2,4,3,4,4,4,4,4,3,2,2,4,2,2,3,2,4,2,5,4,3,2,2,4,2,9/8/2013 12:34:33 PM
150007395,3,4,5,2,5,3,3,3,0,3,0,0,5,5,5,4,3,0,4,2,1,0,0,0,5,2,5,3,0,5,0,0,4,0,1,3,3,0,0,3,1,0,0,5,3,4,2,0,5,2,9/8/2013 12:35:43 PM
152005187,3,3,4,2,5,3,1,3,4,3,3,2,2,5,2,2,3,4,2,2,2,3,1,4,3,1,3,2,1,5,4,3,5,4,1,3,2,3,2,2,3,4,2,3,4,2,2,2,3,3,9/8/2013 12:38:38 PM
150007771,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,9/8/2013 12:39:08 PM
150004407,3,3,3,3,3,4,0,4,3,3,4,3,4,5,3,4,3,4,4,3,3,4,1,4,3,2,4,3,3,4,4,3,4,3,2,4,2,3,3,3,2,3,3,3,3,4,3,2,4,2,9/8/2013 12:40:26 PM
48000638,4,3,3,3,5,4,2,2,3,4,4,2,4,3,2,3,3,4,4,3,2,2,2,2,0,3,4,3,3,3,4,3,4,4,4,0,3,2,4,3,2,4,3,4,3,3,2,2,3,3,9/8/2013 12:43:38 PM
152005130,4,4,3,3,5,3,1,2,5,1,4,4,5,5,3,3,3,5,5,3,3,2,2,4,5,1,4,5,1,3,4,4,5,2,1,4,1,2,1,5,3,5,3,3,5,5,2,2,4,2,9/8/2013 12:44:36 PM
