ID,qp1,qp2,qp3,qp4,qp5,qp6,qp7,qp8,qp9,qp10,qp11,qp12,qp13,qp14,qp15,qp16,qp17,qp18,qp19,qp20,qp21,qp22,qp23,qp24,qp25,qp26,qp27,qp28,qp29,qp30,qp31,qp32,qp33,qp34,qp35,qp36,qp37,qp38,qp39,qp40,qp41,qp42,qpTIME
151004489,5,4,4,5,2,3,3,3,3,3,2,4,2,3,3,3,3,3,4,2,3,3,2,4,2,3,3,3,3,3,4,2,2,2,3,2,3,3,4,3,1,3,12/6/13 17:18
152008872,4,5,4,3,3,2,2,4,3,2,4,4,2,2,4,4,2,2,4,2,3,4,1,4,4,4,4,4,2,4,4,2,4,4,2,3,5,2,4,3,3,4,12/6/13 17:39
148007153,1,5,4,4,1,3,2,5,2,2,3,3,2,3,4,5,1,2,4,2,2,1,2,3,4,4,3,4,1,4,4,1,4,3,2,3,2,5,4,2,1,3,12/6/13 18:18
150006755,1,5,5,5,1,1,2,4,4,1,5,5,1,5,5,5,3,1,5,1,1,4,1,5,5,5,3,5,1,5,4,1,5,5,1,5,5,3,5,1,2,5,12/6/13 18:31
152003263,4,3,4,4,3,2,4,4,3,1,4,4,2,4,4,4,3,2,4,2,2,2,3,4,3,4,3,4,2,4,4,2,4,3,2,4,4,4,5,2,5,4,12/6/13 18:42
151007984,4,4,3,4,5,3,3,5,3,2,5,5,4,3,3,3,2,3,5,5,4,5,3,5,3,3,3,4,1,4,4,3,2,3,2,3,5,3,4,4,3,4,12/6/13 19:45
151003982,2,5,3,4,3,2,2,4,4,2,5,3,1,4,3,4,2,3,5,1,3,2,2,5,4,4,4,5,1,4,4,2,3,4,1,4,4,3,5,2,4,4,12/6/13 21:15
144002248,4,4,4,5,2,3,3,5,2,1,4,3,2,4,3,5,4,2,5,1,1,0,5,4,5,4,5,4,2,5,3,3,5,5,3,3,5,2,4,1,3,4,12/6/13 21:47
153004702,5,3,2,3,4,3,3,4,3,3,3,5,3,2,2,1,3,4,2,3,4,4,4,3,2,3,3,2,3,3,4,3,3,3,3,2,1,4,3,4,5,3,12/6/13 21:59
153001402,3,4,4,5,3,2,3,4,2,5,5,5,3,3,5,4,3,4,5,2,3,2,3,5,4,3,5,4,2,5,4,3,2,4,3,4,3,3,4,3,3,3,12/6/13 22:04
153000627,4,3,3,5,2,3,4,5,1,1,5,5,0,3,4,5,3,3,4,3,4,0,2,5,4,4,5,2,0,1,4,1,3,4,2,4,4,5,4,2,3,3,12/6/13 22:10
150007402,5,5,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12/6/13 22:40
152008111,4,4,5,5,5,3,1,5,1,1,5,5,1,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,1,5,5,3,5,5,5,5,5,5,5,12/6/13 22:45
147000423,4,4,4,4,4,4,4,4,4,4,4,4,3,4,0,4,4,5,4,4,3,3,5,4,4,4,4,4,5,5,4,4,0,5,4,5,4,4,4,4,4,5,12/6/13 23:53
147000423,4,4,4,4,4,4,4,4,4,4,4,4,3,4,0,4,4,5,4,4,3,3,5,4,4,4,4,4,5,5,4,4,0,5,4,5,4,4,4,4,4,5,12/6/13 23:57
144008720,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12/7/13 0:00
145008394,3,4,4,5,4,2,4,3,4,4,3,4,2,5,2,4,2,4,4,2,4,2,4,5,4,2,4,3,0,4,3,4,2,4,4,4,2,2,4,4,4,2,12/7/13 0:00
145009542,4,4,5,2,1,3,4,4,4,1,5,2,5,4,4,4,2,2,2,2,4,4,4,4,3,4,5,4,2,0,0,0,4,4,4,5,2,4,4,1,4,4,12/7/13 13:27
151003174,3,5,4,4,5,3,2,4,1,4,5,5,4,4,4,5,4,2,5,3,5,4,2,5,4,4,4,4,1,2,4,5,3,4,1,2,4,2,4,3,2,4,12/7/13 14:20
146005432,4,4,4,1,4,2,4,4,4,3,4,4,4,2,4,1,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,2,2,4,5,3,3,4,4,3,3,12/7/13 14:39
151002728,1,4,5,5,2,2,1,3,3,3,5,5,1,4,5,5,3,1,5,1,1,5,3,5,5,5,3,5,1,4,4,1,4,5,1,4,3,3,4,1,4,5,12/7/13 17:01
152002372,2,4,4,4,2,3,3,4,3,3,4,2,3,3,4,4,3,3,4,0,2,3,4,4,5,4,4,3,3,4,4,0,2,3,5,5,4,4,3,3,4,4,12/7/13 17:05
151002128,4,4,5,5,4,4,0,5,4,4,4,3,4,4,5,4,4,4,3,3,4,4,4,3,3,4,4,3,4,4,4,4,3,5,3,3,4,4,4,4,4,3,12/8/13 14:19
